epoch,train/loss,train/f1,val/loss,val/f1,name,strategy
1,1.5551725788521693,0.5718710683832942,0.5917683508904541,0.8258391732781064,camembert_texte brute,texte brute
2,0.5111868989511128,0.8449975090748142,0.44909840426681674,0.8588443649495733,camembert_texte brute,texte brute
3,0.37108374519877685,0.8852306802774909,0.39171979168758675,0.8812548166454817,camembert_texte brute,texte brute
4,0.28327205463296057,0.9116520265117044,0.3832545954241034,0.8865114147149017,camembert_texte brute,texte brute
5,0.22073350915912543,0.930913856227819,0.3697422521544949,0.8922285208699073,camembert_texte brute,texte brute
6,0.1755766350371963,0.9457347290549615,0.37668507787234645,0.8934078513985458,camembert_texte brute,texte brute
7,0.14821114721275844,0.9540999788202449,0.3777430136085433,0.8955085459688821,camembert_texte brute,texte brute
8,0.13589823943474433,0.9595171359467095,0.37864873105221813,0.896071241815884,camembert_texte brute,texte brute
1,1.5308928370351462,0.5839517367030942,0.5879651027128977,0.8248973357148899,camembert_cleaner,cleaner
2,0.508606332497005,0.8465839949131532,0.456596535137471,0.8597672816840954,camembert_cleaner,cleaner
3,0.3665901113756009,0.8859342013915992,0.4034997027148219,0.8753103429157134,camembert_cleaner,cleaner
4,0.2809045288645749,0.9114435030975413,0.3647872721338097,0.8884906185385912,camembert_cleaner,cleaner
5,0.21998370911176313,0.9308689899152254,0.3656267663299599,0.8920365663779815,camembert_cleaner,cleaner
6,0.17477823576741347,0.9450176442466468,0.36841616436072133,0.8935048621180557,camembert_cleaner,cleaner
7,0.1488989649750331,0.9533328786210771,0.37474275453783135,0.8943575149454751,camembert_cleaner,cleaner
8,0.13550713725535662,0.9582998321911795,0.3747782890931429,0.8942330718514357,camembert_cleaner,cleaner
1,1.549921959793978,0.5779629325633452,0.6124041160239893,0.8151258797347929,camembert_numtok ligth,numtok ligth
2,0.5281230850966805,0.840388407872305,0.4426827274920309,0.8631124212489182,camembert_numtok ligth,numtok ligth
3,0.37403578767251916,0.8851228907411625,0.39265611822552543,0.8761024418342706,camembert_numtok ligth,numtok ligth
4,0.2871286585243327,0.9091861164625393,0.3793304858564892,0.8825587223683512,camembert_numtok ligth,numtok ligth
5,0.2249019981728045,0.9296733749684416,0.36547605424900265,0.8918062833594554,camembert_numtok ligth,numtok ligth
6,0.177852355213729,0.9439651296788165,0.369515433507588,0.8949704834712455,camembert_numtok ligth,numtok ligth
7,0.1515924323998912,0.9535562108190617,0.37302125980529716,0.8943342484608906,camembert_numtok ligth,numtok ligth
8,0.13710931260857392,0.9590482828756336,0.37295331881545923,0.8957743023798083,camembert_numtok ligth,numtok ligth
1,1.571530373924343,0.5632838395907108,0.6363206702120164,0.8058979873199122,camembert_numtok full,numtok full
2,0.5415544911240139,0.8350623623287723,0.4519748769043123,0.8591361977315997,camembert_numtok full,numtok full
3,0.3850491419279165,0.8786522115156594,0.4135297518880928,0.8727785375837656,camembert_numtok full,numtok full
4,0.3013821675114885,0.9048602784543945,0.3836990284130854,0.8832304089884682,camembert_numtok full,numtok full
5,0.234997440230517,0.9260049102655087,0.3766496529583545,0.8872518667543703,camembert_numtok full,numtok full
6,0.1892794435173739,0.9413760291344341,0.3855755540487521,0.887384699487778,camembert_numtok full,numtok full
7,0.16220952944132783,0.9488412268077784,0.3843278261449407,0.8912558950770338,camembert_numtok full,numtok full
8,0.15051375073890616,0.9542350792252092,0.38575206103132054,0.8906155138386562,camembert_numtok full,numtok full
1,1.55268233041818,0.5711075626279329,0.6014871497802875,0.8146445215077456,camembert_cleaner + numtok ligth,cleaner + numtok ligth
2,0.5261865975927635,0.8422344885770142,0.44582863958442914,0.8631088185060373,camembert_cleaner + numtok ligth,cleaner + numtok ligth
3,0.3725821402028778,0.8846705348215474,0.3921647770987714,0.8790725418533337,camembert_cleaner + numtok ligth,cleaner + numtok ligth
4,0.2850791026602137,0.9105071565913839,0.37273133969043987,0.8855658587140804,camembert_cleaner + numtok ligth,cleaner + numtok ligth
5,0.22385276161033243,0.9296944629204025,0.37090200298082304,0.8888765759884283,camembert_cleaner + numtok ligth,cleaner + numtok ligth
6,0.17681506398882682,0.9446671252408917,0.3789600264746696,0.891889032453761,camembert_cleaner + numtok ligth,cleaner + numtok ligth
7,0.15009408709869893,0.9534423930960148,0.37786046623471464,0.89210521619238,camembert_cleaner + numtok ligth,cleaner + numtok ligth
8,0.1392490897032435,0.9579835563273362,0.3785520192783545,0.8929465663999023,camembert_cleaner + numtok ligth,cleaner + numtok ligth
1,1.5364272682087514,0.5771969723029685,0.5908798172193415,0.8245351053561404,camembert_numtok phys,numtok phys
2,0.5182120014405475,0.8410920963606768,0.43485159389674666,0.865796182170867,camembert_numtok phys,numtok phys
3,0.37397966428239354,0.8821319741867836,0.39863178390352166,0.8771688156497857,camembert_numtok phys,numtok phys
4,0.28584032156140515,0.9104460605167816,0.38090807288775547,0.8833371119157937,camembert_numtok phys,numtok phys
5,0.22528365260228997,0.9295321798482524,0.3718875326188829,0.8894024059041479,camembert_numtok phys,numtok phys
6,0.17831983083977565,0.9439744342925706,0.3726499630083494,0.8925421585276382,camembert_numtok phys,numtok phys
7,0.1509801265400008,0.9537103454289991,0.3766462749308523,0.8931289287001971,camembert_numtok phys,numtok phys
8,0.13753840444576504,0.9583684882322565,0.377213751973913,0.894378338541676,camembert_numtok phys,numtok phys
